                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3957,                 15.792,                 3.7223,                  8e-05,                0.00403,                  4e-05,                      0,                 4.5892,                 4.5765,                 3.9198,             0.00054023,             0.00054023,             0.00054023
                      2,                 5.6947,                   7.17,                 3.6862,                0.00012,                0.04032,                  7e-05,                  2e-05,                 5.1324,                 29.052,                 10.385,               0.001085,               0.001085,               0.001085
                      3,                 4.9694,                 5.2867,                  3.179,                0.00012,                0.04032,                  7e-05,                  2e-05,                  4.652,                 10.473,                 4.5811,              0.0016189,              0.0016189,              0.0016189
                      4,                 4.7707,                 4.5144,                 2.6577,                  8e-05,                0.00806,                  4e-05,                  1e-05,                 5.0191,                 6.6095,                 3.9558,              0.0016175,              0.0016175,              0.0016175
                      5,                 4.3433,                 4.3458,                 2.2383,                  4e-05,                0.00872,                  2e-05,                      0,                 4.8272,                 4.7473,                 2.8824,              0.0016175,              0.0016175,              0.0016175
                      6,                 4.4028,                 4.2436,                 2.1819,                0.00015,                0.05242,                  9e-05,                  2e-05,                 4.5035,                 4.4976,                 2.6195,               0.001601,               0.001601,               0.001601
                      7,                 4.2705,                  4.189,                 2.0541,                0.00015,                0.05242,                  9e-05,                  2e-05,                 4.1461,                 4.3495,                 2.1353,              0.0015845,              0.0015845,              0.0015845
                      8,                 4.2354,                 4.2066,                 1.9526,                0.00015,                0.05242,                  9e-05,                  2e-05,                 3.9238,                 4.3347,                 2.0238,               0.001568,               0.001568,               0.001568
                      9,                 4.1718,                 4.1999,                 1.9613,                0.00019,                0.02419,                0.00011,                  3e-05,                  4.058,                  4.285,                 1.9348,              0.0015515,              0.0015515,              0.0015515
                     10,                 4.1488,                  4.208,                 1.8607,                 0.0005,                0.07249,                0.00056,                0.00011,                 3.8561,                 4.2395,                 1.8743,               0.001535,               0.001535,               0.001535
                     11,                 4.1554,                 4.1977,                   1.88,                0.00015,                 0.0121,                 0.0001,                  4e-05,                 3.8651,                 4.2673,                 1.8188,              0.0015185,              0.0015185,              0.0015185
                     12,                 4.2321,                 4.2425,                 1.8796,                0.00015,                 0.0121,                 0.0001,                  4e-05,                 3.8906,                 4.3877,                 1.8332,               0.001502,               0.001502,               0.001502
                     13,                 4.1749,                 4.1957,                 1.8628,                0.00015,                 0.0121,                 0.0001,                  4e-05,                 5.0973,                 6.1364,                 5.0303,              0.0014855,              0.0014855,              0.0014855
                     14,                 4.1096,                 4.1927,                 1.7424,                0.00061,                 0.0647,                0.00036,                  8e-05,                  3.984,                 4.2965,                 1.8389,               0.001469,               0.001469,               0.001469
                     15,                 4.1384,                 4.1964,                 1.7262,                0.00019,                0.02823,                0.00011,                  3e-05,                 3.8877,                 4.3252,                 1.8304,              0.0014525,              0.0014525,              0.0014525
                     16,                 4.1483,                 4.1554,                 1.7566,                0.00074,                0.07718,                0.00042,                0.00012,                 3.9346,                 4.2627,                 1.9453,               0.001436,               0.001436,               0.001436
                     17,                 4.0955,                 4.2053,                 1.7459,                0.00074,                0.07718,                0.00042,                0.00012,                 3.9574,                 4.3612,                  1.889,              0.0014195,              0.0014195,              0.0014195
                     18,                 4.1085,                 4.1988,                 1.7311,                0.00016,                0.02419,                  9e-05,                  2e-05,                 3.8806,                 4.5757,                  1.809,              0.0014029,              0.0014029,              0.0014029
                     19,                 4.0664,                 4.1713,                  1.731,                0.00112,                0.02194,                0.00059,                0.00018,                 3.8272,                 4.2814,                 1.8396,              0.0013864,              0.0013864,              0.0013864
                     20,                 4.0325,                  4.188,                 1.7101,                0.00021,                0.04435,                0.00012,                  3e-05,                 3.8589,                 4.3893,                 1.7239,              0.0013699,              0.0013699,              0.0013699
                     21,                 4.0944,                 4.1737,                 1.7154,                0.00021,                0.04435,                0.00012,                  3e-05,                 3.8316,                 4.3274,                 1.7825,              0.0013534,              0.0013534,              0.0013534
                     22,                 4.0012,                 4.1922,                 1.6951,                 0.0008,                0.03695,                0.00042,                 0.0001,                 3.8413,                 4.3155,                 1.7722,              0.0013369,              0.0013369,              0.0013369
                     23,                 4.0698,                 4.1734,                 1.7037,                0.00013,                0.00806,                  7e-05,                  2e-05,                 3.8302,                 4.3698,                 1.7343,              0.0013204,              0.0013204,              0.0013204
                     24,                 4.0661,                 4.1669,                 1.6202,                 0.0002,                0.00806,                 0.0001,                  3e-05,                 3.8276,                 4.3847,                 1.7174,              0.0013039,              0.0013039,              0.0013039
                     25,                 4.0296,                 4.1848,                 1.6573,                0.00044,                0.03226,                0.00024,                  4e-05,                  3.839,                 4.4154,                 1.7463,              0.0012874,              0.0012874,              0.0012874
                     26,                      4,                 4.1603,                 1.6936,                0.00017,                0.03226,                  9e-05,                  3e-05,                 3.9858,                 4.4434,                 1.8155,              0.0012709,              0.0012709,              0.0012709
                     27,                 4.0184,                 4.1845,                 1.6835,                0.00087,                0.02551,                0.00046,                 0.0001,                 3.8735,                 4.3231,                 1.7846,              0.0012544,              0.0012544,              0.0012544
                     28,                 4.0009,                 4.1821,                 1.6453,                0.00017,                0.00403,                  9e-05,                  3e-05,                 3.8729,                 4.4326,                 1.7249,              0.0012379,              0.0012379,              0.0012379
                     29,                 4.0368,                 4.1674,                 1.6463,                0.00077,                0.04454,                0.00044,                0.00014,                 3.7943,                 4.3208,                 1.7075,              0.0012214,              0.0012214,              0.0012214
                     30,                 3.9575,                 4.1707,                 1.6533,                0.00038,                0.01163,                 0.0002,                  4e-05,                 3.7167,                  4.388,                 1.5991,              0.0012049,              0.0012049,              0.0012049
                     31,                 3.9666,                 4.1241,                 1.6173,                0.00038,                0.01163,                 0.0002,                  4e-05,                 3.8802,                 4.4009,                 1.8381,              0.0011884,              0.0011884,              0.0011884
                     32,                 4.0182,                 4.2018,                 1.6629,                0.00038,                0.01163,                 0.0002,                  4e-05,                   3.98,                 4.3421,                 1.9479,              0.0011719,              0.0011719,              0.0011719
                     33,                 4.0332,                 4.1678,                 1.6597,                0.00015,                0.03226,                  9e-05,                  3e-05,                 3.9262,                 4.2691,                 1.7841,              0.0011554,              0.0011554,              0.0011554
                     34,                  3.944,                 4.1979,                 1.6276,                  8e-05,                0.00806,                  4e-05,                  1e-05,                 3.8152,                 4.3693,                 1.7456,              0.0011389,              0.0011389,              0.0011389
                     35,                 3.9998,                 4.1978,                 1.6323,                0.00014,                0.00403,                0.00014,                  4e-05,                 3.9005,                 4.3857,                 1.7839,              0.0011224,              0.0011224,              0.0011224
                     36,                  4.006,                 4.2119,                 1.6243,                0.00014,                0.00403,                0.00014,                  4e-05,                 3.8736,                  4.412,                 1.7401,              0.0011059,              0.0011059,              0.0011059
                     37,                 4.0272,                 4.1998,                 1.6338,                0.00028,                0.03226,                0.00015,                  4e-05,                 3.9616,                 4.4735,                  1.736,              0.0010894,              0.0010894,              0.0010894
                     38,                 3.9937,                 4.2028,                   1.64,                0.00023,                0.01613,                0.00012,                  3e-05,                  3.871,                 4.4858,                  1.684,              0.0010729,              0.0010729,              0.0010729
                     39,                 3.9118,                 4.2021,                 1.6008,                0.00033,                0.01613,                0.00018,                  6e-05,                 3.8969,                 4.3515,                 1.7461,              0.0010564,              0.0010564,              0.0010564
                     40,                 3.9556,                 4.1866,                 1.6202,                0.00051,                0.01613,                0.00028,                  6e-05,                 3.8721,                 4.2943,                  1.688,              0.0010399,              0.0010399,              0.0010399
                     41,                 3.9779,                 4.1774,                 1.6411,                 0.0002,                0.03226,                0.00011,                  3e-05,                 3.8642,                 4.3625,                 1.7104,              0.0010234,              0.0010234,              0.0010234
                     42,                 3.9143,                 4.1752,                 1.5827,                0.00021,                0.03629,                0.00012,                  3e-05,                 3.8811,                 4.3847,                  1.662,              0.0010069,              0.0010069,              0.0010069
                     43,                 3.9093,                 4.1841,                 1.5565,                0.00029,                0.02419,                0.00016,                  3e-05,                 3.8478,                  4.395,                 1.6479,             0.00099036,             0.00099036,             0.00099036
                     44,                 3.9738,                 4.1933,                 1.5944,                 0.0013,                  0.015,                0.00075,                 0.0001,                 3.8441,                 4.3579,                 1.6818,             0.00097386,             0.00097386,             0.00097386
                     45,                 4.0037,                 4.1823,                  1.618,                0.00025,                 0.0121,                0.00013,                  3e-05,                 3.9257,                  4.271,                 1.7501,             0.00095736,             0.00095736,             0.00095736
                     46,                 3.9106,                 4.1576,                 1.6048,                0.00054,                0.03517,                0.00028,                  4e-05,                 3.9314,                 4.2902,                 1.7256,             0.00094085,             0.00094085,             0.00094085
                     47,                 3.9036,                 4.1722,                 1.6005,                 0.0003,                0.06855,                0.00018,                  4e-05,                 4.0683,                 4.4837,                 1.6415,             0.00092435,             0.00092435,             0.00092435
                     48,                 3.8424,                 4.1666,                 1.5742,                0.00033,                0.07258,                0.00022,                  6e-05,                 3.9824,                 4.4728,                 1.6137,             0.00090785,             0.00090785,             0.00090785
                     49,                 3.9094,                 4.1691,                 1.5419,                0.00066,                 0.0888,                0.00041,                  9e-05,                 3.8738,                 4.3127,                 1.6622,             0.00089134,             0.00089134,             0.00089134
                     50,                 3.8342,                 4.1528,                 1.5499,                0.00033,                0.03779,                0.00028,                  4e-05,                  3.904,                 4.3399,                 1.6835,             0.00087484,             0.00087484,             0.00087484
                     51,                 3.8827,                 4.1898,                 1.5742,                0.00125,                  0.015,                0.00068,                 0.0002,                 4.0293,                 4.5031,                 1.6024,             0.00085834,             0.00085834,             0.00085834
                     52,                 3.9024,                 4.1564,                 1.5609,                0.00025,                0.02823,                0.00014,                  4e-05,                 4.0075,                 4.2618,                 1.7784,             0.00084184,             0.00084184,             0.00084184
