                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.4546,                  10.47,                 4.0743,                      0,                      0,                      0,                      0,                 5.0096,                 4.8609,                 3.8981,             0.00054023,             0.00054023,             0.00054023
                      2,                 5.0795,                 5.8106,                 3.7453,                0.00053,                0.00806,                  6e-05,                  2e-05,                 4.9835,                 343.63,                 84.523,               0.001085,               0.001085,               0.001085
                      3,                 4.6268,                 5.0652,                 3.2266,                  5e-05,                0.00694,                  2e-05,                      0,                 4.0564,                  6.468,                 3.6604,              0.0016189,              0.0016189,              0.0016189
                      4,                 4.3126,                 4.5792,                 2.7468,                0.00018,                0.06048,                0.00011,                  3e-05,                   3.63,                  7.378,                  4.672,              0.0016175,              0.0016175,              0.0016175
                      5,                 3.9944,                  4.502,                 2.4608,                0.00137,                0.00403,                 0.0001,                  2e-05,                    nan,                    nan,                    nan,              0.0016175,              0.0016175,              0.0016175
                      6,                 4.0738,                 4.4244,                 2.3884,                0.00137,                0.00403,                 0.0001,                  2e-05,                 4.3561,                 4.5085,                 3.3565,               0.001601,               0.001601,               0.001601
                      7,                 3.9661,                  4.383,                  2.272,                0.00011,                0.00694,                  5e-05,                  3e-05,                 3.5711,                 43.769,                 2.7492,              0.0015845,              0.0015845,              0.0015845
                      8,                 3.9244,                 4.3669,                 2.1618,                0.00014,                0.03629,                 0.0001,                  2e-05,                 3.9872,                 4.0938,                 2.5532,               0.001568,               0.001568,               0.001568
                      9,                 3.9505,                 4.3761,                 2.1977,                0.00014,                0.03629,                 0.0001,                  2e-05,                 3.9214,                 4.3067,                  2.342,              0.0015515,              0.0015515,              0.0015515
                     10,                 3.8674,                 4.4013,                 2.0993,                0.00014,                0.03629,                 0.0001,                  2e-05,                 3.5901,                  4.424,                 2.3957,               0.001535,               0.001535,               0.001535
                     11,                 3.9183,                 4.3732,                 2.1259,                0.00029,                0.00403,                0.00015,                  1e-05,                 3.6613,                 4.2935,                 2.4099,              0.0015185,              0.0015185,              0.0015185
                     12,                 3.9723,                  4.413,                 2.1652,                0.00029,                0.00403,                0.00015,                  1e-05,                  3.661,                 4.0271,                 2.3024,               0.001502,               0.001502,               0.001502
                     13,                 3.8893,                 4.3919,                 2.1308,                0.00024,                0.00806,                0.00012,                  4e-05,                 3.5723,                 4.4179,                  2.077,              0.0014855,              0.0014855,              0.0014855
                     14,                 3.8662,                 4.3835,                 2.0853,                0.00024,                0.00806,                0.00012,                  4e-05,                 3.3381,                  4.486,                 1.9922,               0.001469,               0.001469,               0.001469
                     15,                   3.87,                 4.4149,                 2.0647,                 0.0002,                0.06855,                0.00012,                  3e-05,                 3.3845,                 4.0265,                 2.0572,              0.0014525,              0.0014525,              0.0014525
                     16,                 3.8671,                 4.3672,                 2.0564,                0.00024,                0.04726,                0.00014,                  3e-05,                 3.8762,                  4.255,                 2.1763,               0.001436,               0.001436,               0.001436
                     17,                 3.7892,                 4.4176,                 1.9961,                0.00024,                0.04726,                0.00014,                  3e-05,                 3.4278,                 4.0466,                  2.001,              0.0014195,              0.0014195,              0.0014195
                     18,                 3.8104,                 4.4393,                 1.9695,                0.00265,                0.00403,                0.00136,                0.00014,                 3.3538,                 4.5207,                 1.8718,              0.0014029,              0.0014029,              0.0014029
                     19,                 3.7234,                 4.4028,                 1.8938,                0.00265,                0.00403,                0.00136,                0.00014,                 3.3044,                  4.537,                 1.8455,              0.0013864,              0.0013864,              0.0013864
                     20,                   3.77,                 4.4301,                 1.9442,                0.00019,                0.06452,                0.00012,                  4e-05,                 3.3217,                 4.0652,                 1.8594,              0.0013699,              0.0013699,              0.0013699
                     21,                 3.8027,                  4.415,                  1.947,                0.00017,                0.00403,                  9e-05,                  1e-05,                 3.3433,                 4.0529,                 1.8828,              0.0013534,              0.0013534,              0.0013534
                     22,                 3.6841,                  4.439,                 1.8939,                0.00028,                0.03226,                0.00015,                  3e-05,                 3.2978,                 4.1603,                 1.8426,              0.0013369,              0.0013369,              0.0013369
                     23,                 3.6905,                 4.4345,                 1.8342,                0.00038,                0.03629,                0.00021,                  4e-05,                 3.2862,                 4.1363,                 1.7972,              0.0013204,              0.0013204,              0.0013204
                     24,                 3.7107,                 4.3991,                  1.847,                0.00038,                0.03629,                0.00021,                  4e-05,                 3.3293,                 4.4897,                 1.9371,              0.0013039,              0.0013039,              0.0013039
                     25,                 3.7081,                 4.4412,                 1.8895,                0.00024,                0.02823,                0.00016,                  4e-05,                 3.1845,                 4.1874,                 1.7497,              0.0012874,              0.0012874,              0.0012874
                     26,                 3.6231,                 4.4163,                 1.8345,                0.00024,                0.02823,                0.00016,                  4e-05,                 3.2444,                  4.145,                 1.8607,              0.0012709,              0.0012709,              0.0012709
                     27,                 3.7244,                 4.3983,                  1.888,                0.00024,                0.02823,                0.00016,                  4e-05,                  3.342,                 4.4365,                 1.8912,              0.0012544,              0.0012544,              0.0012544
                     28,                 3.6919,                 4.4316,                 1.8866,                0.00031,                0.00403,                0.00016,                  3e-05,                 3.4377,                  4.177,                 1.8855,              0.0012379,              0.0012379,              0.0012379
                     29,                 3.7525,                 4.4142,                 1.8694,                0.00031,                0.00403,                0.00016,                  3e-05,                  3.277,                 4.0746,                 1.7963,              0.0012214,              0.0012214,              0.0012214
                     30,                 3.6469,                 4.4334,                 1.8357,                0.00017,                 0.0121,                  9e-05,                  3e-05,                 3.2736,                 4.1337,                 1.7864,              0.0012049,              0.0012049,              0.0012049
                     31,                 3.5872,                 4.3882,                 1.8375,                0.00028,                0.02823,                0.00015,                  3e-05,                 3.2491,                 4.1009,                 1.7411,              0.0011884,              0.0011884,              0.0011884
                     32,                 3.6815,                 4.4388,                  1.837,                0.00028,                0.02823,                0.00015,                  3e-05,                 3.2153,                 4.5851,                 1.7284,              0.0011719,              0.0011719,              0.0011719
                     33,                 3.6511,                 4.4369,                 1.8019,                0.00029,                0.02823,                0.00017,                  4e-05,                 3.2255,                 4.5882,                 1.7403,              0.0011554,              0.0011554,              0.0011554
                     34,                 3.6337,                 4.4519,                 1.8041,                0.00029,                0.02823,                0.00017,                  4e-05,                 3.2325,                 4.0776,                  1.772,              0.0011389,              0.0011389,              0.0011389
                     35,                  3.709,                 4.4471,                 1.8502,                0.00029,                0.02823,                0.00017,                  4e-05,                 3.2245,                 4.0871,                 1.7449,              0.0011224,              0.0011224,              0.0011224
                     36,                  3.697,                 4.4659,                 1.8256,                0.00029,                0.02823,                0.00017,                  4e-05,                 3.1996,                 4.1411,                  1.726,              0.0011059,              0.0011059,              0.0011059
